
Method		URI				Function
------		------------------------------	-------------------------------------
GET		/ctdl/a/landing.html		Site root redirects to here
GET		/ctdl/r/			returns a JSON-encoded list of accessible rooms
OPTIONS		/ctdl/r/ROOMNAME/		returns just what you'd expect
PROPFIND	/ctdl/r/ROOMNAME/		Show a bunch of crap
GET		/ctdl/r/ROOMNAME/		Returns information about the room (name, view, etc.) in JSON format
GET		/ctdl/r/ROOMNAME/msgs.all	JSON array of message list in room
GET		/ctdl/r/ROOMNAME/msgs.new	JSON array of message list in room (new messages)
GET		/ctdl/c/info			Returns a JSON representation of the output of an INFO server command
POST		/ctdl/a/login			Send it a your credentials and it will log you in
GET		/ctdl/a/whoami
GET		/ctdl/u/USERNAME/userpic	Returns an image containing the photo/avatar of the specified user
